p_val,avg_log2FC,pct.OE,pct.Scr,p_val_adj,gene
4.78E-51,-1.080831327,0.924,1,1.10E-46,AC149090.1
6.88E-16,-1.917145886,0.071,0.324,1.58E-11,Aldh1l2
8.92E-16,0.2744181639,1,1,2.05E-11,Malat1
1.15E-13,-1.162787167,0.126,0.415,2.64E-09,Aars
3.71E-12,-0.7841679044,0.541,0.831,8.51E-08,AY036118
5.69E-12,-0.8417525728,0.284,0.647,1.31E-07,Sars
6.02E-12,-1.268124349,0.117,0.367,1.38E-07,Cars
1.72E-11,-0.8511528228,0.144,0.425,3.95E-07,Sncb
4.90E-11,-0.954794008,0.211,0.493,1.12E-06,Tac1
4.41E-10,-6.679682442,0,0.087,1.01E-05,Sst
6.36E-10,-1.962222494,0.037,0.184,1.46E-05,9530026P05Rik
7.54E-10,-0.8115895878,0.232,0.536,1.73E-05,Ctsb
3.47E-09,-4.335388524,0.002,0.087,7.97E-05,Gm26812
4.11E-09,-0.9560365889,0.11,0.324,9.45E-05,Dmtf1
4.20E-09,-0.7017481389,0.177,0.444,9.65E-05,Eif1
4.36E-09,-0.6500132713,0.271,0.58,1.00E-04,Hspa8
5.18E-09,-1.897964576,0.028,0.155,1.19E-04,Osgepl1
6.70E-09,-0.5034830057,0.633,0.903,1.54E-04,Psap
7.37E-09,-0.7358109231,0.128,0.353,1.69E-04,Stk40
8.44E-09,-0.4417952677,0.867,0.99,1.94E-04,Gm42418
1.15E-08,-0.5898589366,0.541,0.841,2.65E-04,Las1l
1.65E-08,-1.565398371,0.099,0.275,3.78E-04,Mybpc1
2.57E-08,-0.8386575323,0.083,0.261,5.90E-04,Terf2
2.67E-08,-0.6415177237,0.193,0.449,6.13E-04,Nars
3.17E-08,-0.689247905,0.312,0.614,7.29E-04,Ubr2
3.46E-08,-0.6215806128,0.236,0.517,7.95E-04,Yars
3.71E-08,-0.7826026851,0.174,0.415,8.52E-04,F730043M19Rik
4.35E-08,-0.7846693713,0.147,0.372,9.99E-04,Rell2
4.40E-08,-0.9114807757,0.122,0.324,1.01E-03,Slc1a4
6.51E-08,-0.5915004635,0.211,0.473,1.49E-03,Atp5b
6.92E-08,-2.062600849,0.023,0.13,1.59E-03,Gm16105
7.80E-08,-0.3908796041,0.908,0.986,1.79E-03,Atp1b1
9.44E-08,-0.7013417011,0.179,0.411,2.17E-03,Eef2k
1.08E-07,-0.5683675824,0.2,0.449,2.49E-03,Cpsf7
1.09E-07,-0.8383724046,0.124,0.324,2.50E-03,Slc7a1
1.41E-07,-1.384902504,0.053,0.188,3.24E-03,Minar1
1.44E-07,-1.152815603,0.034,0.155,3.31E-03,Asns
1.77E-07,-1.398877079,0.044,0.169,4.06E-03,Cry1
1.84E-07,-0.8002620448,0.099,0.275,4.22E-03,Samm50
2.02E-07,-0.6281507148,0.151,0.367,4.63E-03,Cbarp
2.57E-07,-0.7562234137,0.14,0.343,5.89E-03,Bfar
2.62E-07,-1.210861507,0.062,0.203,6.01E-03,Trim66
2.66E-07,-0.7335811411,0.165,0.377,6.11E-03,Stt3b
2.98E-07,-0.3963377251,0.851,0.981,6.83E-03,App
2.99E-07,-0.6250221884,0.303,0.585,6.87E-03,Gapdh
3.01E-07,-0.5050536498,0.303,0.594,6.92E-03,Brd9
3.20E-07,-0.8582955701,0.197,0.42,7.35E-03,Bcat1
3.24E-07,-0.683673872,0.083,0.246,7.45E-03,Cntfr
3.95E-07,-0.6399560087,0.337,0.604,9.07E-03,Zbtb16
4.06E-07,-0.7011908613,0.11,0.295,9.32E-03,Irak1
4.41E-07,-0.7947765688,0.106,0.285,1.01E-02,Gprasp2
4.50E-07,-0.5417669117,0.606,0.812,1.03E-02,Efna5
5.41E-07,-0.9736069839,0.144,0.333,1.24E-02,Tmem184b
5.47E-07,-0.5419805783,0.312,0.599,1.26E-02,Drg1
5.49E-07,-0.9559513317,0.064,0.203,1.26E-02,Ccnd2
5.68E-07,-0.5531703056,0.142,0.348,1.30E-02,Ndufaf4
6.12E-07,-2.989163492,0.005,0.072,1.40E-02,Trmo
6.29E-07,-0.5535839992,0.261,0.536,1.44E-02,Idh3b
7.19E-07,-1.490331868,0.028,0.13,1.65E-02,Inafm1
7.81E-07,-0.4441609346,0.133,0.333,1.79E-02,Slc38a6
8.49E-07,-0.785071389,0.069,0.213,1.95E-02,Papss1
8.77E-07,-0.9014501443,0.062,0.198,2.01E-02,Slc27a2
9.40E-07,-0.6494622567,0.147,0.348,2.16E-02,Lhx6
9.59E-07,-1.255006131,0.053,0.179,2.20E-02,Slc6a9
1.02E-06,-0.7556345775,0.126,0.309,2.35E-02,Ube2e3
1.17E-06,-0.9410854422,0.055,0.184,2.68E-02,Tgfb3
1.17E-06,-0.4320173585,0.197,0.435,2.69E-02,Pld3
1.19E-06,-0.5410450402,0.142,0.338,2.74E-02,Mtch1
1.21E-06,-0.9680631658,0.053,0.179,2.78E-02,Mthfsl
1.23E-06,-1.129769182,0.064,0.198,2.83E-02,Selenoo
1.23E-06,-0.8556240023,0.057,0.188,2.83E-02,Phf10
1.26E-06,-0.8886770648,0.083,0.232,2.89E-02,Eif2b3
1.30E-06,-0.586498282,0.211,0.444,2.98E-02,Asah1
1.30E-06,-0.589897223,0.163,0.377,2.98E-02,Ube2v2
1.31E-06,-0.6276477806,0.257,0.507,3.00E-02,Frmpd3
1.38E-06,-0.5027356925,0.394,0.691,3.17E-02,Tafa5
1.43E-06,-0.8383661005,0.069,0.208,3.27E-02,Noc3l
1.45E-06,-0.7623478267,0.122,0.3,3.33E-02,Rint1
1.50E-06,-0.6739112457,0.161,0.362,3.45E-02,Fndc9
1.50E-06,-0.5388691246,0.154,0.357,3.45E-02,Fam173a
1.65E-06,-1.543360617,0.028,0.126,3.78E-02,Pet100
1.74E-06,-0.442247872,0.177,0.401,3.98E-02,Gpbp1
1.74E-06,-0.6118156985,0.213,0.435,3.99E-02,Rab3a
1.77E-06,-0.5787296915,0.188,0.406,4.07E-02,Ccz1
1.91E-06,-0.6520586282,0.099,0.261,4.38E-02,Chst10
2.00E-06,-0.6524245479,0.14,0.329,4.59E-02,Snx2
2.03E-06,-0.8001356163,0.073,0.213,4.66E-02,Mthfd2
2.04E-06,-0.3394876753,0.225,0.473,4.68E-02,Plec
2.13E-06,-0.7386094599,0.112,0.28,4.90E-02,Slbp
2.14E-06,-0.5755442137,0.094,0.251,4.91E-02,Ankle2
2.14E-06,-0.9279583399,0.06,0.188,4.92E-02,Vegfa
2.39E-06,-1.208590637,0.053,0.174,5.49E-02,Wars
2.61E-06,-0.6465131487,0.156,0.353,5.99E-02,Zfp385a
2.68E-06,-0.5956686145,0.154,0.348,6.16E-02,Ina
2.82E-06,-2.908846925,0.007,0.072,6.47E-02,Dynlt1b
2.82E-06,-0.6956160738,0.154,0.343,6.49E-02,Hsp90aa1
3.05E-06,-0.6181779638,0.388,0.614,6.99E-02,Scg2
3.05E-06,-0.4960272894,0.124,0.304,7.00E-02,Tmem179
3.09E-06,-0.4964721401,0.149,0.343,7.10E-02,Gna12
3.18E-06,-1.004461726,0.069,0.203,7.29E-02,Colgalt1
3.34E-06,-0.7871294957,0.069,0.203,7.67E-02,Ythdf2
3.47E-06,-1.863910337,0.021,0.106,7.97E-02,Srxn1
3.51E-06,-0.6889336296,0.076,0.217,8.07E-02,Cycs
3.54E-06,-0.6915072356,0.069,0.203,8.13E-02,Elp5
3.67E-06,-1.355602413,0.03,0.126,8.42E-02,Mars
3.68E-06,-0.9366612973,0.06,0.184,8.45E-02,Ddx47
3.83E-06,-1.03336803,0.037,0.14,8.78E-02,Gm17066
3.85E-06,-0.368995992,0.796,0.961,8.84E-02,4930402H24Rik
3.92E-06,-0.4916157071,0.222,0.454,9.01E-02,Dync1li2
4.03E-06,-0.5257592595,0.342,0.647,9.25E-02,Slc3a2
4.11E-06,-0.5370744192,0.165,0.357,9.43E-02,Arhgap31
4.12E-06,-0.5463152682,0.255,0.483,9.47E-02,Gars
4.15E-06,-0.4072105418,0.106,0.271,9.53E-02,Tef
4.24E-06,-0.4346688963,0.654,0.894,9.73E-02,Mkx
4.36E-06,-0.5826153617,0.25,0.483,1.00E-01,Gm13944
4.42E-06,-0.5312158139,0.2,0.415,1.01E-01,Casc3
4.60E-06,-0.7154374549,0.151,0.338,1.06E-01,Gm43713
4.62E-06,-0.4525031189,0.225,0.449,1.06E-01,Pde3b
5.03E-06,-0.7319564552,0.14,0.314,1.16E-01,Ppia
5.17E-06,-0.4504790097,0.096,0.251,1.19E-01,Fam114a2
5.20E-06,-0.9273647446,0.08,0.217,1.19E-01,Extl2
5.29E-06,-0.5768945309,0.154,0.338,1.21E-01,Tmem189
5.31E-06,-3.299151624,0.005,0.063,1.22E-01,Gm17114
5.38E-06,-0.3299706946,0.177,0.386,1.24E-01,Stx12
6.05E-06,-1.169297735,0.062,0.184,1.39E-01,Tram1l1
6.27E-06,-0.5847715367,0.22,0.444,1.44E-01,Usp36
6.59E-06,-0.8702969858,0.108,0.261,1.51E-01,Arfgap3
6.63E-06,-0.5463029862,0.126,0.295,1.52E-01,Btbd8
7.13E-06,-0.4438614217,0.234,0.473,1.64E-01,Dpm1
7.26E-06,-0.5253355569,0.119,0.285,1.67E-01,Ankrd13a
7.38E-06,-0.4377254441,0.239,0.473,1.70E-01,Sirpa
7.47E-06,-0.6269794982,0.131,0.304,1.72E-01,Rpl21
7.59E-06,-0.6051175248,0.209,0.42,1.74E-01,Serinc3
7.79E-06,-0.89293849,0.062,0.184,1.79E-01,Etf1
7.86E-06,-0.3859814619,0.766,0.942,1.80E-01,Sik3
8.04E-06,-0.7110279739,0.103,0.256,1.85E-01,Rbl2
8.07E-06,-2.747371887,0.007,0.068,1.85E-01,D17H6S53E
8.09E-06,-0.4625472345,0.291,0.546,1.86E-01,Slc25a3
8.32E-06,-0.498889828,0.172,0.357,1.91E-01,Lama3
8.40E-06,-0.3283746643,0.195,0.415,1.93E-01,Lncppara
8.48E-06,-0.9422765871,0.041,0.145,1.95E-01,Katna1
8.53E-06,-0.7309267562,0.149,0.319,1.96E-01,Ndufa4
8.56E-06,-0.5391340528,0.124,0.29,1.97E-01,Adss
8.59E-06,-0.4020053221,0.206,0.435,1.97E-01,Eps15
8.63E-06,-0.721603253,0.062,0.184,1.98E-01,Pcif1
8.66E-06,-0.4266618304,0.19,0.401,1.99E-01,Hook2
8.93E-06,-1.52580323,0.023,0.106,2.05E-01,Ramac
9.00E-06,-3.648568471,0.002,0.053,2.07E-01,Slc25a43
9.08E-06,-0.4234316898,0.227,0.454,2.09E-01,Got1
9.66E-06,-0.5583049715,0.28,0.527,2.22E-01,Uqcc1
9.95E-06,-2.83515695,0.009,0.072,2.28E-01,Slc7a3
1.01E-05,-0.4325733917,0.394,0.676,2.33E-01,Ggt7
1.18E-05,-0.4512251096,0.654,0.855,2.70E-01,Gabrb1
1.18E-05,-0.5581246857,0.094,0.242,2.70E-01,Eif2ak1
1.19E-05,-0.4301339904,0.19,0.396,2.73E-01,Fam149b
1.19E-05,-0.9236588573,0.067,0.188,2.73E-01,Dph5
1.23E-05,-0.4314354247,0.394,0.638,2.82E-01,Slc35f4
1.25E-05,-0.5538260469,0.087,0.227,2.88E-01,Rpl30
1.26E-05,-0.4457881215,0.362,0.628,2.89E-01,Lrrc4
1.27E-05,-0.343276222,0.555,0.855,2.91E-01,Gprasp1
1.29E-05,-0.5302353221,0.22,0.435,2.97E-01,Fxr2
1.38E-05,-0.5637176144,0.183,0.377,3.17E-01,Syt13
1.38E-05,-0.8025876285,0.099,0.242,3.18E-01,Mthfd1l
1.40E-05,-1.298547681,0.06,0.169,3.22E-01,Stard13
1.45E-05,-1.254415184,0.039,0.135,3.32E-01,A530017D24Rik
1.54E-05,-1.510686346,0.034,0.126,3.54E-01,Ltbp4
1.55E-05,-0.3616597553,0.197,0.415,3.56E-01,Ap3m1
1.57E-05,-0.7438087782,0.083,0.213,3.60E-01,Lrp12
1.58E-05,-0.6924188073,0.064,0.184,3.62E-01,Ostm1
1.60E-05,-0.8701822861,0.073,0.198,3.68E-01,Scaf1
1.63E-05,-0.496230338,0.161,0.343,3.75E-01,Saraf
1.65E-05,-0.9153432489,0.092,0.227,3.79E-01,Tomm20
1.75E-05,-0.7676906492,0.094,0.232,4.01E-01,Eif4ebp2
1.75E-05,-0.39018173,0.206,0.415,4.03E-01,Cpeb1
1.76E-05,-0.3647737162,0.729,0.879,4.04E-01,9630014M24Rik
1.77E-05,-0.4653082365,0.096,0.242,4.07E-01,Tmem9b
1.91E-05,-0.7642993009,0.078,0.203,4.38E-01,Pcnt
1.91E-05,-0.5761203585,0.117,0.271,4.39E-01,Mios
1.91E-05,-0.4960477815,0.183,0.372,4.39E-01,Lysmd4
1.99E-05,-1.126922315,0.034,0.126,4.57E-01,Atp5k
2.00E-05,-0.6018944453,0.165,0.343,4.59E-01,Pnpt1
2.00E-05,-0.4316823629,0.369,0.618,4.60E-01,Slc38a2
2.00E-05,-0.5915878488,0.151,0.324,4.60E-01,Cyb5r4
2.03E-05,-0.475476428,0.195,0.396,4.67E-01,Iars
2.06E-05,-0.4597008483,0.243,0.464,4.74E-01,Atf6
2.07E-05,-0.3464420304,0.211,0.43,4.74E-01,Etv5
2.08E-05,-0.3880672567,0.204,0.415,4.77E-01,March7
2.09E-05,-1.417642999,0.018,0.092,4.79E-01,Chdh
2.09E-05,-0.4505143531,0.117,0.275,4.80E-01,Dnaja1
2.16E-05,-1.261228054,0.03,0.116,4.96E-01,Dlx5
2.16E-05,-1.468630678,0.025,0.106,4.97E-01,Siah2
2.18E-05,-0.5631889572,0.119,0.271,5.02E-01,Rhobtb3
2.19E-05,-0.8913384951,0.057,0.169,5.03E-01,Ssrp1
2.20E-05,-0.4485830978,0.307,0.546,5.06E-01,Calm1
2.20E-05,-0.5662100322,0.154,0.333,5.06E-01,Atp6v1d
2.25E-05,-0.4876879581,0.11,0.261,5.17E-01,Uqcrq
2.28E-05,-1.022860549,0.032,0.121,5.23E-01,Rab23
2.33E-05,-1.108687291,0.05,0.155,5.34E-01,Clic4
2.33E-05,-0.5420292582,0.156,0.329,5.35E-01,Syt4
2.35E-05,-0.3329560379,0.209,0.42,5.40E-01,Prune2
2.36E-05,-0.6542179897,0.089,0.222,5.41E-01,Man2c1os
2.36E-05,-0.7396500795,0.092,0.227,5.42E-01,Ddx23
2.42E-05,-0.4731613579,0.273,0.502,5.57E-01,Dop1a
2.45E-05,-0.9313492866,0.053,0.159,5.62E-01,M6pr
2.47E-05,-0.6036134015,0.163,0.338,5.66E-01,Ufsp2
2.50E-05,-0.5264779299,0.163,0.343,5.74E-01,Pabpc1
2.52E-05,-0.5091497655,0.314,0.565,5.80E-01,Rprd2
2.70E-05,-0.7088986144,0.053,0.159,6.21E-01,Aldh18a1
2.75E-05,-0.5721644767,0.053,0.159,6.31E-01,Hnrnph2
2.78E-05,-0.364596536,0.523,0.754,6.38E-01,Smyd3
2.79E-05,-3.042572372,0.002,0.048,6.42E-01,Gm13528
2.79E-05,-3.221513053,0.002,0.048,6.42E-01,Capn11
2.83E-05,-0.6920955358,0.106,0.246,6.50E-01,Rbm3
2.84E-05,-0.5999038951,0.135,0.295,6.53E-01,Rnf170
2.90E-05,-0.4476224788,0.174,0.362,6.66E-01,Dpysl5
2.95E-05,-0.8740102299,0.062,0.174,6.78E-01,March5
2.98E-05,-0.3100179047,0.287,0.541,6.84E-01,Prpf6
2.99E-05,-0.5332596964,0.089,0.222,6.87E-01,Polr3c
3.03E-05,-0.3662652121,0.358,0.604,6.95E-01,Anks1
3.04E-05,-0.4788686362,0.087,0.217,6.97E-01,Slc25a32
3.05E-05,-0.4038775626,0.317,0.58,7.01E-01,Clk1
3.06E-05,-1.270728053,0.039,0.13,7.03E-01,Gm42609
3.18E-05,-0.3419049571,0.193,0.396,7.31E-01,Tsc22d2
3.21E-05,-0.2713745244,0.851,0.947,7.36E-01,Atp1a3
3.23E-05,-0.4027416094,0.222,0.444,7.42E-01,Brd1
3.24E-05,-0.3624147023,0.188,0.386,7.45E-01,Copg1
3.29E-05,-1.818596229,0.009,0.068,7.55E-01,Prr13
3.29E-05,-0.8169671215,0.046,0.145,7.55E-01,Trim62
3.33E-05,-0.3093515332,0.328,0.589,7.64E-01,Ube2w
3.34E-05,-0.4605398632,0.25,0.473,7.67E-01,Wdr70
3.36E-05,-0.3826284379,0.206,0.42,7.71E-01,Ctsd
3.50E-05,-0.4320159348,0.227,0.435,8.03E-01,Calr
3.51E-05,-0.8634233406,0.046,0.145,8.05E-01,Tceal5
3.55E-05,-1.100647753,0.037,0.126,8.15E-01,Itga10
3.58E-05,-0.4752841251,0.305,0.536,8.21E-01,Uggt2
3.67E-05,-1.037974247,0.041,0.135,8.43E-01,8030451O07Rik
3.68E-05,-0.56425422,0.078,0.203,8.46E-01,Med23
3.69E-05,-4.796167248,0,0.039,8.47E-01,Phlda3
3.70E-05,-0.4534174,0.181,0.372,8.49E-01,Map1a
3.73E-05,-0.646409308,0.08,0.208,8.56E-01,Mcrip1
3.75E-05,-0.4136561844,0.179,0.362,8.62E-01,Bbip1
3.82E-05,-0.440568788,0.477,0.778,8.78E-01,Slc32a1
3.86E-05,-0.26764839,0.266,0.512,8.86E-01,Dcaf8
3.94E-05,-0.8416254651,0.055,0.159,9.05E-01,Tmem170b
4.03E-05,-0.4612701251,0.151,0.329,9.26E-01,Capzb
4.06E-05,-0.8569375955,0.055,0.159,9.32E-01,Ctbp2
4.07E-05,-0.5847652627,0.096,0.232,9.35E-01,Napa
4.09E-05,-0.6211181154,0.119,0.266,9.39E-01,Btf3l4
4.10E-05,-0.5297431313,0.11,0.256,9.41E-01,Nfic
4.13E-05,-0.4432760552,0.158,0.329,9.48E-01,Rnf10
4.17E-05,-0.3066454296,0.489,0.778,9.58E-01,Ptpre
4.19E-05,-0.8650132752,0.037,0.126,9.62E-01,Hax1
4.20E-05,-0.7536456778,0.069,0.184,9.65E-01,Meis3
4.20E-05,-0.3565783031,0.358,0.618,9.65E-01,Sept11
4.21E-05,-0.8181267192,0.064,0.174,9.67E-01,Rps7
4.24E-05,-0.5556791866,0.197,0.386,9.72E-01,Ddx1
4.24E-05,-0.6998515244,0.071,0.188,9.74E-01,Tigar
4.24E-05,-1.672924654,0.023,0.097,9.74E-01,Rhoj
4.25E-05,-0.4804001417,0.135,0.295,9.76E-01,Ociad1
4.37E-05,-1.462552585,0.025,0.101,1.00E+00,Pdp1
4.37E-05,-0.9076426197,0.073,0.188,1.00E+00,Rab11b
4.42E-05,-0.7909613762,0.055,0.159,1.00E+00,Lig3
4.43E-05,-0.9411788977,0.037,0.126,1.00E+00,Ly96
4.43E-05,-0.8324696435,0.037,0.126,1.00E+00,Rad23a
4.43E-05,-0.5036077861,0.117,0.266,1.00E+00,Camta2
4.49E-05,-1.09209377,0.032,0.116,1.00E+00,Gpr137b
4.52E-05,-0.351111066,0.271,0.488,1.00E+00,Ncoa3
4.52E-05,-0.3934270836,0.161,0.338,1.00E+00,Ahr
4.54E-05,-0.337430102,0.22,0.44,1.00E+00,Uxs1
4.57E-05,-0.5410969399,0.112,0.256,1.00E+00,Ube2m
4.59E-05,-0.5341039477,0.073,0.193,1.00E+00,Gm9866
4.59E-05,-0.5928324077,0.069,0.184,1.00E+00,Nit1
4.63E-05,-0.5411727755,0.11,0.251,1.00E+00,Gm26854
4.81E-05,-0.7294730054,0.078,0.198,1.00E+00,Hadhb
4.82E-05,-0.7950563255,0.122,0.266,1.00E+00,Zfp91
4.84E-05,-0.5951766969,0.106,0.246,1.00E+00,Cdc123
4.91E-05,-0.6782520578,0.073,0.188,1.00E+00,Pcp4l1
4.93E-05,-0.4544473592,0.087,0.217,1.00E+00,Bcl7a
5.05E-05,-1.61389061,0.018,0.087,1.00E+00,Arhgap27
5.06E-05,-1.565493224,0.023,0.097,1.00E+00,Slc39a2
5.07E-05,-0.4652225157,0.19,0.382,1.00E+00,Abcb7
5.08E-05,-0.7394695876,0.064,0.174,1.00E+00,Gps1
5.10E-05,-1.455187781,0.021,0.092,1.00E+00,Zfp655
5.12E-05,-0.7152342481,0.078,0.198,1.00E+00,Actn1
5.13E-05,-1.098676984,0.062,0.169,1.00E+00,Tmem198
5.15E-05,-0.5547823027,0.108,0.246,1.00E+00,Dbt
5.17E-05,-1.343248537,0.023,0.097,1.00E+00,Wipi1
5.18E-05,-0.4643101364,0.239,0.449,1.00E+00,Smc3
5.22E-05,-0.5435577097,0.14,0.3,1.00E+00,Chordc1
5.31E-05,-1.287416787,0.025,0.101,1.00E+00,Cd276
5.35E-05,-0.3694276748,0.234,0.454,1.00E+00,Lamp1
5.39E-05,-0.3581868686,0.255,0.478,1.00E+00,Cyth1
5.39E-05,-0.6577815448,0.099,0.232,1.00E+00,Elp2
5.40E-05,-0.5566124045,0.089,0.217,1.00E+00,Chchd7
5.41E-05,-0.4608344025,0.053,0.155,1.00E+00,Ndufv1
5.41E-05,-0.6153615897,0.078,0.198,1.00E+00,Gosr2
5.48E-05,-1.18745506,0.023,0.097,1.00E+00,Gm13563
5.49E-05,-0.4146497572,0.142,0.304,1.00E+00,Rhoa
5.50E-05,-0.3846738359,0.305,0.546,1.00E+00,Sec62
5.50E-05,-0.8577709166,0.03,0.111,1.00E+00,Fam98b
5.60E-05,-0.5514057894,0.165,0.333,1.00E+00,Dnajc19
5.65E-05,-0.4850350967,0.069,0.184,1.00E+00,Pom121
5.69E-05,-0.7314540551,0.085,0.208,1.00E+00,Fam78b
5.71E-05,-0.5192834379,0.126,0.28,1.00E+00,Gm46367
5.75E-05,-1.172314235,0.041,0.13,1.00E+00,Ints13
5.79E-05,-0.465257628,0.296,0.527,1.00E+00,Rev1
5.93E-05,-0.4961834556,0.225,0.425,1.00E+00,Faim2
5.99E-05,-0.6425378779,0.023,0.097,1.00E+00,Gm44686
6.01E-05,-0.4495268857,0.211,0.406,1.00E+00,Nap1l5
6.08E-05,-0.5535504737,0.103,0.242,1.00E+00,Set
6.08E-05,-0.5021155008,0.122,0.271,1.00E+00,Vps35
6.14E-05,-0.5005593053,0.11,0.251,1.00E+00,Slc43a2
6.18E-05,-0.5656630805,0.078,0.198,1.00E+00,Cipc
6.19E-05,-0.3781940527,0.817,0.952,1.00E+00,Arl15
6.21E-05,-0.7653585981,0.05,0.15,1.00E+00,Hdac6
6.22E-05,-1.017769431,0.044,0.135,1.00E+00,Zfp24
6.37E-05,-0.88282003,0.046,0.14,1.00E+00,Ercc8
6.44E-05,-0.3115130933,0.158,0.338,1.00E+00,Ate1
6.56E-05,-0.3934814911,0.454,0.691,1.00E+00,Aff2
6.60E-05,-0.3345455608,0.661,0.879,1.00E+00,Trim2
6.83E-05,-0.5226576968,0.14,0.295,1.00E+00,Actr10
6.90E-05,-0.4647547835,0.213,0.411,1.00E+00,Fam120c
6.90E-05,-2.330596874,0.007,0.058,1.00E+00,Yif1a
6.91E-05,-0.3395299937,0.092,0.222,1.00E+00,Gtf2a2
6.93E-05,-0.5541235928,0.133,0.285,1.00E+00,Zc3h12c
6.94E-05,-0.4833669325,0.138,0.295,1.00E+00,Sugt1
6.95E-05,-0.4268490425,0.25,0.459,1.00E+00,Sh3glb1
6.96E-05,-0.5406364497,0.193,0.372,1.00E+00,Cbx5
7.01E-05,-0.4184408147,0.167,0.348,1.00E+00,Lemd3
7.02E-05,-0.6170512249,0.133,0.285,1.00E+00,Cry2
7.06E-05,-0.9833074447,0.057,0.159,1.00E+00,Htr2b
7.06E-05,-1.739398557,0.007,0.058,1.00E+00,Gm14320
7.13E-05,-0.3679541208,0.374,0.643,1.00E+00,Rims4
7.37E-05,-0.4205747075,0.181,0.362,1.00E+00,Micu1
7.39E-05,-0.7286687301,0.06,0.164,1.00E+00,Slc5a6
7.43E-05,-0.3526856902,0.131,0.29,1.00E+00,Exoc1
7.48E-05,-0.6299000658,0.085,0.208,1.00E+00,Tmem147
7.54E-05,-0.3144767879,0.222,0.43,1.00E+00,Vopp1
7.60E-05,-0.7932164278,0.057,0.159,1.00E+00,Trim39
7.78E-05,-0.3569509997,0.158,0.333,1.00E+00,Gabpb2
7.87E-05,-0.6478834022,0.133,0.28,1.00E+00,Tmem243
7.94E-05,-0.5847829825,0.064,0.174,1.00E+00,Cope
8.00E-05,-1.800022251,0.009,0.063,1.00E+00,Tsnaxip1
8.01E-05,-0.3438474063,0.17,0.343,1.00E+00,Sil1
8.10E-05,-0.433375729,0.177,0.357,1.00E+00,Farsb
8.20E-05,-0.3453457257,0.252,0.478,1.00E+00,Eea1
8.26E-05,-0.3866673348,0.417,0.667,1.00E+00,Fam135a
8.26E-05,-0.3311607589,0.092,0.222,1.00E+00,Ngly1
8.27E-05,-0.7784765082,0.069,0.179,1.00E+00,Necap1
8.33E-05,-0.2783953127,0.147,0.314,1.00E+00,Pdcd6ip
8.35E-05,-0.4820822186,0.163,0.329,1.00E+00,Cacul1
8.39E-05,-0.9368989047,0.053,0.15,1.00E+00,Nol9
8.40E-05,-0.3192364788,0.126,0.28,1.00E+00,Ankmy2
8.41E-05,-0.4522228785,0.177,0.353,1.00E+00,Ube2l3
8.56E-05,-0.4721529614,0.188,0.362,1.00E+00,Usp50
8.57E-05,-2.46663864,0.009,0.063,1.00E+00,Slc7a11
8.62E-05,-0.3289441355,0.204,0.406,1.00E+00,Pigu
8.70E-05,-0.3701750592,0.195,0.391,1.00E+00,Selenoi
8.77E-05,-0.6399085554,0.124,0.266,1.00E+00,Zfp157
8.81E-05,-0.4013485257,0.239,0.444,1.00E+00,Mtor
8.82E-05,0.8160971657,0.562,0.415,1.00E+00,Sgcz
8.83E-05,-0.4991339076,0.108,0.246,1.00E+00,Ccdc107
8.88E-05,-0.5625615563,0.071,0.184,1.00E+00,Paqr9
8.97E-05,-0.265507711,0.922,0.928,1.00E+00,Cntnap5a
9.01E-05,-0.9222595948,0.053,0.15,1.00E+00,Unc50
9.06E-05,-0.7984906262,0.037,0.121,1.00E+00,Rbsn
9.08E-05,-1.459842103,0.032,0.111,1.00E+00,Map2k3
9.12E-05,-0.5215400966,0.213,0.391,1.00E+00,Usp6nl
9.17E-05,-0.3105135416,0.144,0.304,1.00E+00,Gm26936
9.30E-05,-0.6276977955,0.119,0.256,1.00E+00,Spred3
9.35E-05,-0.3249949367,0.103,0.242,1.00E+00,Gm14326
9.38E-05,-1.251566395,0.032,0.111,1.00E+00,Uqcrfs1
9.44E-05,-0.580121642,0.078,0.193,1.00E+00,Vars
9.45E-05,-0.2981802456,0.163,0.333,1.00E+00,Klhl12
9.61E-05,-0.5952064532,0.069,0.179,1.00E+00,Smyd5
9.62E-05,-0.6001761562,0.067,0.174,1.00E+00,Lpcat3
9.79E-05,-0.5665077617,0.225,0.415,1.00E+00,Mfsd6
9.79E-05,-0.2518058862,0.197,0.391,1.00E+00,Ccdc47
9.88E-05,-0.7072064203,0.069,0.179,1.00E+00,Ddx21
9.94E-05,-0.4171736743,0.255,0.464,1.00E+00,Atp6ap1
9.96E-05,-0.4469976198,0.126,0.275,1.00E+00,Pfas
9.98E-05,-0.3131020156,0.264,0.478,1.00E+00,Gm10419
1.00E-04,-0.3934056676,0.085,0.208,1.00E+00,Zcrb1
1.01E-04,-0.6973585645,0.067,0.174,1.00E+00,Morf4l2
1.01E-04,-0.3302368995,0.195,0.386,1.00E+00,Hps4
1.02E-04,-0.4749265929,0.103,0.237,1.00E+00,Mdh2
1.02E-04,-0.4440807204,0.147,0.304,1.00E+00,Usp54
1.03E-04,-0.5949999511,0.115,0.251,1.00E+00,Thap2
1.03E-04,-1.409062992,0.028,0.101,1.00E+00,Rad51c
1.04E-04,-0.4760912014,0.067,0.174,1.00E+00,Bcas3os1
1.04E-04,-0.4424514686,0.167,0.333,1.00E+00,Ergic2
