p_val,avg_log2FC,pct.OE,pct.KD,p_val_adj,gene
1.34E-46,1.418161152,0.867,0.626,3.09E-42,Gm42418
5.13E-25,0.6940371102,0.94,0.896,1.18E-20,Srrm2
1.77E-20,7.730323127,0.172,0,4.06E-16,Gm17167
2.67E-20,-0.5267560245,0.931,0.974,6.13E-16,Gria2
1.43E-18,-0.9471909892,0.541,0.776,3.28E-14,Las1l
1.57E-17,1.217410331,0.541,0.283,3.61E-13,AY036118
2.44E-15,-0.5672547398,0.924,0.943,5.60E-11,AC149090.1
7.79E-15,-1.0468906,0.362,0.613,1.79E-10,Ddx5
2.32E-14,-0.2884618571,0.998,1,5.32E-10,Meg3
5.02E-13,-7.703322362,0,0.113,1.15E-08,Sst
1.83E-12,-0.5192062029,0.796,0.911,4.20E-08,4930402H24Rik
4.02E-12,-0.8732842277,0.534,0.717,9.23E-08,Rsrp1
6.99E-12,0.1724652826,1,1,1.61E-07,Malat1
9.79E-10,-0.6540153726,0.546,0.72,2.25E-05,Ogt
1.62E-09,0.6024438072,0.704,0.589,3.73E-05,Prpf4b
9.44E-09,0.3947221886,0.922,0.876,2.17E-04,Mycbp2
1.22E-08,1.200155141,0.333,0.18,2.80E-04,Gm15478
1.54E-08,-1.19494179,0.142,0.302,3.55E-04,B230334C09Rik
2.54E-08,-0.2866193089,0.938,0.976,5.84E-04,Kcnh7
3.89E-08,0.8165719404,0.509,0.37,8.94E-04,Hnrnpa2b1
4.41E-08,0.4063581113,0.94,0.909,1.01E-03,Pde10a
1.02E-07,-1.696696133,0.032,0.13,2.35E-03,Mid1
3.97E-07,-0.4108342528,0.706,0.809,9.11E-03,Peg3
6.20E-07,-0.8710096837,0.197,0.348,1.42E-02,Eif2s3y
1.27E-06,-0.5292002745,0.294,0.461,2.92E-02,Ddx17
1.36E-06,-0.8223135694,0.229,0.372,3.12E-02,Atp6v1b2
1.65E-06,-0.5200601849,0.516,0.676,3.80E-02,Bend6
2.33E-06,-0.7696724955,0.206,0.354,5.35E-02,Ssbp4
2.47E-06,-1.198395926,0.076,0.185,5.66E-02,Abhd14b
3.80E-06,-0.7116075622,0.291,0.441,8.73E-02,Slc25a3
4.01E-06,2.746430817,0.076,0.013,9.21E-02,Gm16172
6.61E-06,-0.4442729188,0.47,0.637,1.52E-01,Polb
7.82E-06,-0.8502153438,0.142,0.272,1.79E-01,Ndufaf4
1.24E-05,-1.005034682,0.112,0.224,2.84E-01,Phkg2
1.33E-05,-0.7367382395,0.163,0.293,3.06E-01,Fndc1
1.51E-05,-0.7400003804,0.126,0.246,3.47E-01,Aars
1.51E-05,-1.160777895,0.101,0.204,3.47E-01,Rps2
1.69E-05,-0.2826668482,0.766,0.859,3.89E-01,Rbm39
1.89E-05,-0.7922258937,0.165,0.287,4.34E-01,Stt3b
2.45E-05,-0.3104977203,0.803,0.867,5.62E-01,Gpatch8
2.63E-05,-1.174688694,0.06,0.148,6.03E-01,Ftl1
2.82E-05,-0.6926324381,0.252,0.385,6.47E-01,Slf1
2.85E-05,-1.008227948,0.096,0.193,6.53E-01,Pex3
2.94E-05,1.278403387,0.174,0.085,6.75E-01,Flii
3.52E-05,-0.5662152717,0.353,0.502,8.07E-01,Ckb
4.25E-05,-0.4257271756,0.578,0.689,9.76E-01,Fus
5.26E-05,-1.049525837,0.055,0.137,1.00E+00,Prkd1
5.32E-05,-1.392228897,0.034,0.104,1.00E+00,Rps29
5.39E-05,-0.8682449155,0.14,0.246,1.00E+00,Bfar
6.11E-05,-0.5743651799,0.349,0.485,1.00E+00,Mat2a
6.83E-05,1.324555345,0.144,0.065,1.00E+00,Nnat
8.20E-05,-1.014586349,0.053,0.13,1.00E+00,Hnrnph2
8.72E-05,-1.719447622,0.021,0.078,1.00E+00,1700126G02Rik
1.02E-04,0.8847206984,0.296,0.202,1.00E+00,Mtss2
1.04E-04,-0.8243076191,0.122,0.222,1.00E+00,Zfp523
1.17E-04,-0.4294338882,0.633,0.722,1.00E+00,Satb1
1.28E-04,-0.4903721909,0.5,0.622,1.00E+00,Srsf2
1.31E-04,-2.333703782,0.007,0.05,1.00E+00,Zfp58
1.32E-04,-0.6836414019,0.195,0.307,1.00E+00,Snhg20
1.40E-04,-0.33058917,0.876,0.913,1.00E+00,Mgat4c
1.42E-04,0.8491435849,0.289,0.193,1.00E+00,Cep70
1.43E-04,0.2761632623,0.872,0.82,1.00E+00,Kcnc1
1.44E-04,0.2933978781,0.796,0.722,1.00E+00,Nf1
1.49E-04,-0.7111888614,0.085,0.176,1.00E+00,Gm26782
1.59E-04,1.711334628,0.11,0.046,1.00E+00,Gm13483
1.61E-04,-1.109455378,0.122,0.213,1.00E+00,Ldb2
1.64E-04,0.5435115866,0.654,0.609,1.00E+00,Gm1604a
1.68E-04,-0.4448897578,0.417,0.565,1.00E+00,Calm2
1.77E-04,0.2276304839,0.959,0.92,1.00E+00,Rims2
1.79E-04,-1.364360133,0.039,0.104,1.00E+00,Zfp560
1.89E-04,-1.090654718,0.046,0.115,1.00E+00,Slc25a5
1.92E-04,0.4141464168,0.661,0.58,1.00E+00,Cux2
1.95E-04,-0.8284501334,0.149,0.246,1.00E+00,Ndufa4
2.05E-04,-0.3268209211,0.743,0.811,1.00E+00,Kcnq5
2.40E-04,-0.9097613025,0.06,0.135,1.00E+00,Ddx47
2.41E-04,-0.6399318027,0.165,0.272,1.00E+00,Pnpt1
2.52E-04,0.2919330885,0.803,0.713,1.00E+00,Tmem132d
2.61E-04,-0.7848934282,0.124,0.215,1.00E+00,Akap17b
2.75E-04,-1.201943217,0.064,0.139,1.00E+00,Gas5
2.88E-04,0.5852930725,0.422,0.322,1.00E+00,Paxbp1
2.96E-04,-0.3938665716,0.626,0.733,1.00E+00,Kif21a
2.97E-04,-0.4329892365,0.507,0.613,1.00E+00,Srek1
2.97E-04,0.5299429309,0.466,0.389,1.00E+00,Rbfox3
2.98E-04,2.118849615,0.076,0.024,1.00E+00,Galnt14
3.07E-04,-0.4298317639,0.42,0.55,1.00E+00,Psma3
3.14E-04,-1.56417433,0.021,0.072,1.00E+00,Itpa
3.15E-04,0.255770431,0.897,0.848,1.00E+00,Sh3rf3
3.19E-04,-0.57568941,0.264,0.376,1.00E+00,Gm10419
3.24E-04,1.492106337,0.14,0.072,1.00E+00,Gm47027
3.31E-04,0.540042901,0.445,0.354,1.00E+00,Sptb
3.34E-04,1.078632911,0.161,0.087,1.00E+00,Synj2
3.39E-04,-0.7363358979,0.124,0.217,1.00E+00,Rpl41
3.39E-04,0.2497318055,0.862,0.865,1.00E+00,Prkce
3.44E-04,5.23033252,0.028,0,1.00E+00,Gm21860
3.50E-04,-2.452066237,0.009,0.05,1.00E+00,Trappc5
3.77E-04,0.5422680911,0.502,0.422,1.00E+00,Psip1
3.78E-04,-0.4122476321,0.353,0.478,1.00E+00,Cdh9
4.01E-04,-1.331189343,0.028,0.083,1.00E+00,Hnmt
4.23E-04,-0.4554231561,0.209,0.322,1.00E+00,Csde1
4.30E-04,-0.4364122398,0.461,0.567,1.00E+00,Ints6l
4.45E-04,0.553341087,0.392,0.296,1.00E+00,Gm48091
4.57E-04,-1.438896232,0.021,0.07,1.00E+00,Cops9
4.68E-04,0.4038500716,0.791,0.743,1.00E+00,Ctnna3
4.78E-04,-0.4836346649,0.284,0.404,1.00E+00,Mib1
4.80E-04,-0.3705000163,0.55,0.648,1.00E+00,Krit1
4.83E-04,-0.2941549187,0.594,0.737,1.00E+00,Atp6v0c
4.96E-04,0.4480572453,0.466,0.376,1.00E+00,Acin1
5.09E-04,-0.668180892,0.202,0.3,1.00E+00,Psmb2
5.16E-04,-1.68794413,0.018,0.065,1.00E+00,AC156546.1
5.59E-04,-1.077283487,0.06,0.128,1.00E+00,Uqcr10
5.63E-04,-0.9539026805,0.069,0.141,1.00E+00,Tbc1d17
5.72E-04,-1.220545677,0.06,0.126,1.00E+00,Stard13
5.85E-04,-0.4752450248,0.385,0.513,1.00E+00,Mapk8
6.08E-04,-0.6142521063,0.317,0.42,1.00E+00,Zcchc18
6.42E-04,-0.7528537091,0.106,0.187,1.00E+00,Rbm3
6.57E-04,-0.9042634434,0.034,0.091,1.00E+00,Gbe1
6.71E-04,-0.552467369,0.392,0.496,1.00E+00,Grina
6.92E-04,-0.3062117669,0.31,0.435,1.00E+00,Khdc4
6.97E-04,-1.002127653,0.05,0.115,1.00E+00,Tmem8
7.10E-04,-1.010264551,0.071,0.141,1.00E+00,Gan
7.15E-04,-0.2735234928,0.628,0.748,1.00E+00,Stmn3
7.38E-04,-0.2722657656,0.773,0.857,1.00E+00,Slit2
7.49E-04,-1.275661918,0.048,0.109,1.00E+00,Ppfibp1
7.54E-04,0.2549333287,0.837,0.848,1.00E+00,Dst
7.74E-04,-0.3787906141,0.518,0.648,1.00E+00,Rbm26
7.90E-04,-0.8387818666,0.071,0.143,1.00E+00,Emc1
8.04E-04,0.2835433806,0.693,0.611,1.00E+00,Slc4a4
8.09E-04,-0.189917089,0.961,0.961,1.00E+00,Etl4
8.42E-04,-0.552819103,0.305,0.415,1.00E+00,Sec62
8.47E-04,-0.5871088363,0.128,0.22,1.00E+00,D930016D06Rik
8.49E-04,-0.7335771201,0.069,0.139,1.00E+00,Rnf167
8.52E-04,-0.9975760507,0.05,0.113,1.00E+00,Diablo
9.03E-04,-0.261237195,0.626,0.737,1.00E+00,Kidins220
9.03E-04,-0.1707322301,0.956,0.976,1.00E+00,Rims1
9.29E-04,-0.3647317141,0.394,0.509,1.00E+00,Slc35f4
9.36E-04,-0.6565769014,0.124,0.209,1.00E+00,Cep192
9.55E-04,-1.164275047,0.018,0.063,1.00E+00,Gtf2h4
9.62E-04,0.3453057395,0.569,0.472,1.00E+00,Gramd1b
9.64E-04,1.488077083,0.101,0.046,1.00E+00,Zfhx2os
9.97E-04,1.66462405,0.092,0.039,1.00E+00,Alas2
1.00E-03,-1.893581867,0.009,0.046,1.00E+00,AI854703
1.02E-03,2.540623171,0.034,0.004,1.00E+00,E130309D02Rik
1.02E-03,-3.616385059,0.002,0.03,1.00E+00,Lrrc75a
1.03E-03,-0.7480072137,0.041,0.1,1.00E+00,Rps16
1.06E-03,0.7760553982,0.257,0.176,1.00E+00,Sh3pxd2a
1.08E-03,-0.7018934936,0.147,0.237,1.00E+00,Rell2
1.09E-03,-0.874293264,0.124,0.202,1.00E+00,Snx21
1.10E-03,-0.4554449705,0.42,0.522,1.00E+00,Atp11b
1.10E-03,4.97863915,0.023,0,1.00E+00,6330418K02Rik
1.11E-03,-0.8317065845,0.083,0.154,1.00E+00,Rpl29
1.13E-03,-0.2696549535,0.683,0.802,1.00E+00,Unc80
1.13E-03,0.8578430535,0.209,0.133,1.00E+00,Gm14410
1.14E-03,-0.5525207358,0.122,0.209,1.00E+00,Rab10os
1.15E-03,-0.5317149061,0.22,0.322,1.00E+00,Limk2
1.17E-03,-4.58388867,0,0.024,1.00E+00,Svbp
1.17E-03,-4.648655828,0,0.024,1.00E+00,Scgb2b2
1.17E-03,-0.5409287893,0.133,0.224,1.00E+00,Zc3h12c
1.18E-03,-0.2625902761,0.86,0.9,1.00E+00,Gria3
1.22E-03,0.3538708276,0.642,0.561,1.00E+00,Vwc2
1.23E-03,-0.569181399,0.119,0.204,1.00E+00,Nelfb
1.24E-03,-0.4347891565,0.321,0.435,1.00E+00,Actr1b
1.27E-03,-0.3838512949,0.376,0.491,1.00E+00,Luc7l3
1.28E-03,-1.566013943,0.018,0.061,1.00E+00,Trappc2l
1.29E-03,-1.081473947,0.034,0.087,1.00E+00,Zfp40
1.29E-03,-0.8354175906,0.06,0.124,1.00E+00,Vegfa
1.29E-03,-0.3675733656,0.294,0.42,1.00E+00,Dtx3
1.32E-03,-0.6778896198,0.11,0.191,1.00E+00,Lsm7
1.34E-03,-0.4774784509,0.195,0.298,1.00E+00,Taf1d
1.39E-03,1.158113099,0.112,0.054,1.00E+00,Txlna
1.40E-03,-0.3542980682,0.511,0.609,1.00E+00,Setd5
1.40E-03,-0.6295773509,0.211,0.3,1.00E+00,Tac1
1.43E-03,-0.3034951334,0.606,0.702,1.00E+00,Itpr1
1.48E-03,-1.057081639,0.032,0.083,1.00E+00,Wdhd1
1.48E-03,0.8220652735,0.22,0.143,1.00E+00,Rexo1
1.50E-03,-1.274350169,0.041,0.096,1.00E+00,Abhd17a
1.50E-03,-0.5124255204,0.25,0.357,1.00E+00,Sh3glb1
1.58E-03,-0.320664349,0.422,0.546,1.00E+00,Tial1
1.59E-03,-0.4551408322,0.296,0.402,1.00E+00,Cox4i1
1.60E-03,0.3008217852,0.743,0.68,1.00E+00,Aff3
1.61E-03,-0.1041191328,1,0.996,1.00E+00,Magi2
1.62E-03,-0.8833532698,0.055,0.115,1.00E+00,Psmd3
1.63E-03,-0.4902023876,0.275,0.378,1.00E+00,Nell1
1.65E-03,1.591228757,0.064,0.022,1.00E+00,Ngef
1.66E-03,-0.5758892975,0.264,0.359,1.00E+00,Rogdi
1.67E-03,-0.5019806214,0.275,0.374,1.00E+00,Fam120b
1.67E-03,-0.7512815785,0.103,0.178,1.00E+00,Ckmt1
1.71E-03,-0.7195279437,0.069,0.135,1.00E+00,Rps21
1.72E-03,0.7185384598,0.284,0.207,1.00E+00,Safb2
1.74E-03,-0.3443581325,0.947,0.965,1.00E+00,Kcnip4
1.75E-03,-0.7519002836,0.106,0.183,1.00E+00,Gprasp2
1.75E-03,-0.4807987336,0.206,0.307,1.00E+00,Arfgap1
1.77E-03,-0.462356568,0.195,0.291,1.00E+00,Eya3
1.77E-03,2.331511045,0.032,0.004,1.00E+00,A930006L05Rik
1.79E-03,-0.3177451116,0.495,0.602,1.00E+00,Phf14
1.82E-03,-0.7576147547,0.117,0.196,1.00E+00,Rpl9
1.83E-03,1.820992679,0.053,0.015,1.00E+00,Hnrnpab
1.83E-03,0.7071755735,0.291,0.211,1.00E+00,Zfp961
1.86E-03,1.037152422,0.158,0.093,1.00E+00,Gm36988
1.93E-03,-0.4652250781,0.174,0.27,1.00E+00,Lypd6b
1.93E-03,0.7726368706,0.261,0.185,1.00E+00,1700111E14Rik
1.96E-03,-0.7121840206,0.101,0.174,1.00E+00,Ppp2r2d
1.97E-03,-1.192824789,0.028,0.074,1.00E+00,Inafm1
1.97E-03,4.884506256,0.021,0,1.00E+00,Plekhf2
1.97E-03,4.715243836,0.021,0,1.00E+00,Gm35549
1.97E-03,4.836380763,0.021,0,1.00E+00,Pcdhga10
1.97E-03,-1.820934842,0.016,0.054,1.00E+00,Stk36
1.98E-03,-4.569814542,0,0.022,1.00E+00,Phlda3
1.98E-03,-0.4994637093,0.234,0.335,1.00E+00,Spata7
1.99E-03,1.157408361,0.089,0.039,1.00E+00,Gm15910
1.99E-03,0.2197999451,0.768,0.704,1.00E+00,Adam22
1.99E-03,0.4533425569,0.516,0.448,1.00E+00,Fgf1
1.99E-03,-0.4359511506,0.211,0.311,1.00E+00,Atp5b
2.03E-03,-0.4361009394,0.298,0.409,1.00E+00,Sesn1
2.06E-03,-1.393433104,0.034,0.083,1.00E+00,Klhl4
2.07E-03,-1.864194841,0.014,0.05,1.00E+00,Gm20274
2.07E-03,1.816873865,0.048,0.013,1.00E+00,Tubb2b
2.08E-03,-0.4329782284,0.25,0.357,1.00E+00,Snrnp48
2.09E-03,-0.5241709138,0.161,0.25,1.00E+00,Igsf3
2.11E-03,-1.317726744,0.025,0.07,1.00E+00,Doc2g
2.11E-03,-0.6654027427,0.147,0.228,1.00E+00,Ankrd13d
2.12E-03,-0.3792574501,0.234,0.343,1.00E+00,Dpm1
2.12E-03,1.703225208,0.069,0.026,1.00E+00,Far2os1
2.14E-03,0.9709332845,0.126,0.067,1.00E+00,Grip1os1
2.15E-03,0.7560582691,0.22,0.143,1.00E+00,Smarcb1
2.20E-03,-0.5025287922,0.268,0.367,1.00E+00,Nsmaf
2.24E-03,-0.429236945,0.25,0.352,1.00E+00,Gm13944
2.24E-03,-0.4526805797,0.142,0.228,1.00E+00,Mtch1
2.24E-03,-1.697650269,0.014,0.05,1.00E+00,Noxred1
2.25E-03,0.896138448,0.17,0.102,1.00E+00,Fmnl1
2.26E-03,-0.5306420917,0.165,0.252,1.00E+00,Mlf2
2.27E-03,0.7792120779,0.177,0.109,1.00E+00,Pdzd8
2.28E-03,-0.7037294836,0.117,0.191,1.00E+00,Dnaja1
2.29E-03,-0.9372266036,0.046,0.1,1.00E+00,Rxrb
2.29E-03,-0.2916835844,0.592,0.685,1.00E+00,Ppargc1a
2.31E-03,-1.274436804,0.044,0.096,1.00E+00,Tctn2
2.31E-03,0.4297077347,0.516,0.452,1.00E+00,Tulp4
2.32E-03,-0.4934636212,0.122,0.204,1.00E+00,Grb10
2.32E-03,0.7267661682,0.273,0.198,1.00E+00,Ncor2
2.36E-03,-0.8900116453,0.062,0.122,1.00E+00,Zfand2b
2.39E-03,-0.9221606288,0.053,0.109,1.00E+00,Adam12
2.44E-03,-0.5564674866,0.163,0.248,1.00E+00,Sytl2
2.49E-03,-0.8909981004,0.062,0.122,1.00E+00,Ube2i
2.50E-03,1.895048328,0.064,0.024,1.00E+00,Sh2b3
2.50E-03,-0.7884757196,0.062,0.122,1.00E+00,Etf1
2.53E-03,-0.3809712275,0.255,0.367,1.00E+00,Phka2
2.54E-03,-0.3330159238,0.349,0.465,1.00E+00,Zwint
2.59E-03,-0.9411658685,0.044,0.096,1.00E+00,Neurl4
2.61E-03,-1.462455154,0.021,0.061,1.00E+00,Atp5e
2.67E-03,-0.4186022777,0.151,0.241,1.00E+00,Suclg1
2.67E-03,-0.8141738643,0.08,0.146,1.00E+00,Brk1
2.69E-03,-0.4523655848,0.19,0.285,1.00E+00,Fam149b
2.75E-03,-0.6207529996,0.089,0.159,1.00E+00,Fastk
2.76E-03,0.1931901987,1,1,1.00E+00,Grip1
2.76E-03,-0.4963072195,0.278,0.378,1.00E+00,Dalrd3
2.79E-03,0.4761551352,0.463,0.389,1.00E+00,Pxk
2.81E-03,0.9582334298,0.163,0.1,1.00E+00,4930473A02Rik
2.81E-03,0.196474378,0.998,0.996,1.00E+00,Gria1
2.84E-03,0.3639720277,0.644,0.596,1.00E+00,Gm35188
2.85E-03,-1.331173526,0.037,0.085,1.00E+00,A430033K04Rik
2.87E-03,-0.434333111,0.365,0.459,1.00E+00,4632427E13Rik
2.87E-03,0.4547426247,0.433,0.365,1.00E+00,Mapkap1
2.89E-03,-0.2869452467,0.378,0.498,1.00E+00,Gm19938
2.90E-03,0.2305383287,0.674,0.611,1.00E+00,Snph
2.90E-03,-1.134591195,0.053,0.107,1.00E+00,Tpp1
2.91E-03,1.73697447,0.057,0.02,1.00E+00,Atpsckmt
2.92E-03,-1.066197198,0.037,0.085,1.00E+00,Ptgr2
2.93E-03,-1.463675046,0.018,0.057,1.00E+00,Mindy1
2.94E-03,-0.8407893956,0.099,0.165,1.00E+00,Mrpl4
2.96E-03,1.651958925,0.057,0.02,1.00E+00,Mtx3
2.96E-03,0.8818233678,0.19,0.124,1.00E+00,Cep68
2.97E-03,-0.7769411684,0.112,0.185,1.00E+00,Insig2
2.97E-03,-0.471242077,0.186,0.274,1.00E+00,Sept6
2.97E-03,-1.293832898,0.018,0.057,1.00E+00,Zfp414
2.97E-03,-0.484602628,0.438,0.543,1.00E+00,C1qtnf4
2.98E-03,-2.563342945,0.002,0.026,1.00E+00,Gm29650
3.01E-03,0.4216651138,0.459,0.385,1.00E+00,Vps13a
3.05E-03,2.626760157,0.03,0.004,1.00E+00,Zfp275
3.05E-03,0.5915993846,0.275,0.196,1.00E+00,Mafb
3.06E-03,-1.66974288,0.023,0.063,1.00E+00,Polr1c
3.09E-03,-1.170054906,0.062,0.117,1.00E+00,Aph1a
3.12E-03,-0.7057746729,0.106,0.174,1.00E+00,Socs6
3.14E-03,-1.48383745,0.016,0.052,1.00E+00,Fbxo46
3.14E-03,0.4442065314,0.475,0.411,1.00E+00,Shc3
3.15E-03,0.4220670373,0.413,0.33,1.00E+00,Ergic1
3.15E-03,2.098845106,0.046,0.013,1.00E+00,Leng1
3.16E-03,-0.6099828661,0.112,0.185,1.00E+00,Slbp
3.17E-03,-0.5050402224,0.211,0.302,1.00E+00,Nap1l5
3.20E-03,0.661183145,0.232,0.157,1.00E+00,Grip1os2
3.23E-03,-0.7171645125,0.094,0.161,1.00E+00,Hmgcr
3.24E-03,-0.5840900871,0.119,0.193,1.00E+00,Cxxc4
3.26E-03,-0.6513354393,0.147,0.226,1.00E+00,Zfyve27
3.28E-03,-0.2804889878,0.539,0.646,1.00E+00,Chrm3
3.28E-03,-0.6356993951,0.069,0.13,1.00E+00,Papss1
3.29E-03,-0.4620654556,0.2,0.289,1.00E+00,Cpsf7
3.29E-03,0.1015092082,0.998,0.993,1.00E+00,Dlgap2
3.30E-03,-1.237553116,0.034,0.08,1.00E+00,Atp5k
3.31E-03,0.6469554558,0.275,0.2,1.00E+00,Tmem132cos
3.31E-03,-0.2925760933,0.649,0.754,1.00E+00,Ttc14
3.32E-03,-2.315413572,0.011,0.043,1.00E+00,Stoml2
3.36E-03,-4.482295097,0,0.02,1.00E+00,Dnah7c
3.36E-03,-4.58616476,0,0.02,1.00E+00,Gm29114
3.39E-03,-1.348012949,0.023,0.063,1.00E+00,C330018D20Rik
3.39E-03,-0.566890317,0.131,0.209,1.00E+00,Sirt7
3.40E-03,-0.9073791291,0.041,0.091,1.00E+00,Rpl34
3.42E-03,0.2592392256,0.846,0.793,1.00E+00,Epha5
3.44E-03,0.869261784,0.117,0.061,1.00E+00,Thoc5
3.44E-03,1.728346537,0.046,0.013,1.00E+00,Daam2
3.50E-03,-0.462175926,0.2,0.293,1.00E+00,Clk4
3.51E-03,-1.619511757,0.014,0.048,1.00E+00,Serp1
3.55E-03,4.450247203,0.018,0,1.00E+00,Nudt22
3.56E-03,-0.6910493264,0.046,0.098,1.00E+00,Rpl18a
3.57E-03,-0.5500821127,0.147,0.226,1.00E+00,Slc30a5
3.58E-03,-1.342492616,0.023,0.063,1.00E+00,Poc5
3.60E-03,-0.4196076525,0.349,0.459,1.00E+00,mt-Co2
3.63E-03,-0.4843216218,0.204,0.287,1.00E+00,Pcdh19
3.64E-03,-0.6980845641,0.099,0.167,1.00E+00,Spcs2
3.66E-03,-1.298667752,0.028,0.07,1.00E+00,Slc19a2
3.67E-03,-0.7465326692,0.124,0.193,1.00E+00,Zfp157
3.69E-03,-0.3452971641,0.172,0.263,1.00E+00,Rif1
3.69E-03,-0.8158101398,0.087,0.15,1.00E+00,Higd1a
3.79E-03,-0.5006040978,0.108,0.18,1.00E+00,3110039M20Rik
3.83E-03,-0.4196044737,0.257,0.354,1.00E+00,Pfkp
3.85E-03,-0.2244574801,0.711,0.783,1.00E+00,Frmpd4
3.89E-03,-1.71557037,0.007,0.035,1.00E+00,Lamp5
3.91E-03,-1.046389245,0.046,0.096,1.00E+00,Jmjd6
3.91E-03,-0.8734891238,0.034,0.08,1.00E+00,Tmem223
3.91E-03,-0.689493079,0.103,0.172,1.00E+00,9330159M07Rik
3.91E-03,-0.4964205394,0.227,0.317,1.00E+00,Kras
3.92E-03,-1.395433043,0.028,0.07,1.00E+00,Acvr2b
3.94E-03,-1.926097892,0.007,0.035,1.00E+00,Gm47512
3.98E-03,-0.5014874131,0.28,0.37,1.00E+00,Vgf
3.98E-03,0.3512487199,0.61,0.557,1.00E+00,Apbb2
4.04E-03,-0.5804794506,0.193,0.278,1.00E+00,Frmd3
4.04E-03,1.24442548,0.108,0.057,1.00E+00,Gm10135
4.05E-03,-0.6956867489,0.11,0.18,1.00E+00,Irak1
4.08E-03,-1.17449791,0.037,0.083,1.00E+00,Kdm4d
4.13E-03,0.2676830509,0.727,0.652,1.00E+00,Plcxd3
4.15E-03,-0.5484741546,0.108,0.178,1.00E+00,Ano3
4.21E-03,-0.5970939838,0.124,0.198,1.00E+00,Stub1
4.24E-03,-1.331843277,0.034,0.078,1.00E+00,Pmm1
4.25E-03,-0.838372062,0.092,0.154,1.00E+00,Cdc7
4.26E-03,-0.6662773927,0.069,0.128,1.00E+00,Cdk9
4.26E-03,-0.5310100208,0.147,0.224,1.00E+00,Dusp10
4.31E-03,-0.151576501,0.966,0.974,1.00E+00,Grik2
4.31E-03,-1.576107666,0.018,0.054,1.00E+00,Ciao2a
4.38E-03,-1.304147748,0.053,0.102,1.00E+00,Corin
4.39E-03,-1.254532755,0.018,0.054,1.00E+00,Nedd9
4.43E-03,0.2590744197,0.858,0.815,1.00E+00,Zfp385b
4.51E-03,1.573256882,0.062,0.024,1.00E+00,Hyou1
4.53E-03,-1.32370834,0.03,0.072,1.00E+00,Fam53a
4.56E-03,-0.2895993217,0.502,0.604,1.00E+00,Mdh1
4.59E-03,-0.6725320056,0.078,0.139,1.00E+00,Ndufv3
4.61E-03,-0.6690940958,0.11,0.18,1.00E+00,Ndufb1-ps
4.62E-03,-0.863309185,0.101,0.163,1.00E+00,Selenom
4.64E-03,-0.384257659,0.158,0.239,1.00E+00,Krt222
4.73E-03,-0.3412473951,0.167,0.257,1.00E+00,Fyttd1
4.75E-03,-0.219457244,0.693,0.77,1.00E+00,A330076H08Rik
4.75E-03,0.6452392386,0.261,0.191,1.00E+00,Mink1
4.82E-03,0.6396737916,0.179,0.111,1.00E+00,Eif3c
4.85E-03,-0.5072119121,0.225,0.309,1.00E+00,8030462N17Rik
4.85E-03,0.5088954995,0.447,0.4,1.00E+00,Xylt1
4.85E-03,-0.4067582066,0.092,0.159,1.00E+00,Gtf2a2
4.85E-03,0.9028578553,0.108,0.057,1.00E+00,Ier3ip1
4.86E-03,-1.978277976,0.014,0.046,1.00E+00,Polr2j
4.87E-03,0.3788690814,0.484,0.428,1.00E+00,St3gal3
4.96E-03,-0.40281279,0.197,0.289,1.00E+00,Kantr
4.98E-03,-0.7895325958,0.071,0.128,1.00E+00,Sec61g
4.98E-03,-0.4336071373,0.179,0.263,1.00E+00,Eef2k
5.00E-03,-2.687232661,0.002,0.024,1.00E+00,Gm26781
5.02E-03,-0.4159757466,0.124,0.198,1.00E+00,Adss
5.07E-03,-1.154057389,0.037,0.08,1.00E+00,9530026P05Rik
5.09E-03,-0.3879581888,0.406,0.498,1.00E+00,Pabpn1
5.11E-03,-0.438227972,0.296,0.385,1.00E+00,Smarcc1
5.11E-03,0.2120554727,0.894,0.891,1.00E+00,Cacna1d
5.17E-03,0.3756973575,0.528,0.478,1.00E+00,Kif2a
5.17E-03,2.184424239,0.032,0.007,1.00E+00,Vcpkmt
5.18E-03,-0.2690241669,0.523,0.628,1.00E+00,Smyd3
5.20E-03,-0.5062545119,0.172,0.257,1.00E+00,Slc9a1
5.21E-03,-0.9729716953,0.03,0.072,1.00E+00,Wdr1
5.25E-03,1.33392789,0.083,0.039,1.00E+00,Gm37982
5.27E-03,-0.7435623042,0.156,0.228,1.00E+00,Zfp385a
5.29E-03,-0.8062339101,0.078,0.137,1.00E+00,Hspa14
5.30E-03,-0.605400551,0.156,0.23,1.00E+00,Clpp
5.30E-03,-0.4514373692,0.236,0.326,1.00E+00,Dhdds
5.34E-03,-0.6200388316,0.151,0.222,1.00E+00,Oaz1
5.35E-03,-0.9206559877,0.044,0.091,1.00E+00,Ndufa3
5.37E-03,1.881832435,0.05,0.017,1.00E+00,Sox5os3
5.39E-03,-0.8834035213,0.067,0.12,1.00E+00,Izumo4
5.41E-03,-0.5089038797,0.165,0.243,1.00E+00,Pdlim7
5.41E-03,-1.373175686,0.028,0.067,1.00E+00,Pet100
5.47E-03,-0.2629429278,0.509,0.633,1.00E+00,Ftx
5.47E-03,0.3658886492,0.695,0.698,1.00E+00,Mical2
5.50E-03,-0.8111989371,0.048,0.098,1.00E+00,Pcnx3
5.53E-03,1.858993911,0.05,0.017,1.00E+00,Gm47827
